iata,Year,Month,average_delay,volumne,airport,city,state,lat,long
GSO,2003,4,2.75,4,Piedmont Triad International,Greensboro,NC,36.09774694,-79.9372975
GSP,2003,4,6,1,Greenville-Spartanburg,Greer,SC,34.89566722,-82.21885833
HOU,2003,4,20.16666667,6,William P Hobby,Houston,TX,29.64541861,-95.27888889
HPN,2003,4,-10,1,Westchester Cty,White Plains,NY,41.06695778,-73.70757444
IAD,2003,4,11,1,Washington Dulles International,Chantilly,VA,38.94453194,-77.45580972
IAH,2003,4,1.454545455,11,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222
ICT,2003,4,-10,1,Wichita Mid-Continent,Wichita,KS,37.64995889,-97.43304583
IND,2003,4,4,1,Indianapolis International,Indianapolis,IN,39.71732917,-86.29438417
JAC,2003,4,-4,1,Jackson Hole,Jackson,WY,43.60732417,-110.7377389
JAN,2003,4,4,1,Jackson International,Jackson,MS,32.31116667,-90.07588889
JAX,2003,4,-2,4,Jacksonville International,Jacksonville,FL,30.49405556,-81.68786111
JFK,2003,4,21.25,4,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
LAS,2003,4,2.111111111,18,McCarran International,Las Vegas,NV,36.08036111,-115.1523333
LAX,2003,4,15.07142857,14,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744
LEX,2003,4,13,1,Blue Grass ,Lexington,KY,38.03697222,-84.60538889
LGA,2003,4,-3.428571429,7,LaGuardia,New York,NY,40.77724306,-73.87260917
MCI,2003,4,0.333333333,6,Kansas City International,Kansas City,MO,39.29760528,-94.71390556
MCO,2003,4,3,5,Orlando International,Orlando,FL,28.42888889,-81.31602778
MDT,2003,4,4.5,2,Harrisburg Intl,Harrisburg,PA,40.19349528,-76.76340361
MDW,2003,4,-1,6,Chicago Midway,Chicago,IL,41.7859825,-87.75242444
MEM,2003,4,-8.75,4,Memphis International,Memphis,TN,35.04241667,-89.97666667
MIA,2003,4,9.833333333,6,Miami International,Miami,FL,25.79325,-80.29055556
MKE,2003,4,71,1,General Mitchell International,Milwaukee,WI,42.94722222,-87.89658333
MOB,2003,4,-17,1,Mobile Regional,Mobile,AL,30.69141667,-88.24283333
MSP,2003,4,2.166666667,18,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225
MSY,2003,4,13.57142857,7,New Orleans International ,New Orleans,LA,29.99338889,-90.25802778
MYR,2003,4,-1,1,Myrtle Beach International,Myrtle Beach,SC,33.67975,-78.92833333
OAK,2003,4,2.75,4,Metropolitan Oakland International,Oakland,CA,37.72129083,-122.2207167
OKC,2003,4,2.5,2,Will Rogers World,Oklahoma City,OK,35.39308833,-97.60073389
OMA,2003,4,-7.5,2,Eppley Airfield,Omaha,NE,41.30251861,-95.89417306
ONT,2003,4,-1.8,5,Ontario International,Ontario,CA,34.056,-117.6011944
ORD,2003,4,5.19047619,21,Chicago O'Hare International,Chicago,IL,41.979595,-87.90446417
ORF,2003,4,180,1,Norfolk International,Norfolk,VA,36.89461111,-76.20122222
PBI,2003,4,10.5,2,Palm Beach International,West Palm Beach,FL,26.68316194,-80.09559417
PDX,2003,4,23.5,4,Portland Intl,Portland,OR,45.58872222,-122.5975
PHL,2003,4,-2.416666667,12,Philadelphia Intl,Philadelphia,PA,39.87195278,-75.24114083
PHX,2003,4,9.076923077,13,Phoenix Sky Harbor International,Phoenix,AZ,33.43416667,-112.0080556
PIT,2003,4,1.363636364,11,Pittsburgh International,Pittsburgh,PA,40.49146583,-80.23287083
PSC,2003,4,48,1,Tri-Cities,Pasco,WA,46.26468028,-119.1190292
PVD,2003,4,-3,1,Theodore F Green State,Providence,RI,41.72399917,-71.42822111
RDU,2003,4,2.5,4,Raleigh-Durham International,Raleigh,NC,35.87763889,-78.78747222
RIC,2003,4,16,1,Richmond International,Richmond,VA,37.50516667,-77.31966667
RNO,2003,4,1,1,Reno/Tahoe International,Reno,NV,39.49857611,-119.7680647
ROC,2003,4,-5,1,Greater Rochester Int'l,Rochester,NY,43.11886611,-77.67238389
RST,2003,4,-8,1,Rochester International,Rochester,MN,43.90882639,-92.49798722
RSW,2003,4,1,2,Southwest Florida International,Ft. Myers,FL,26.53616667,-81.75516667
SAN,2003,4,17.11111111,9,San Diego International-Lindbergh ,San Diego,CA,32.73355611,-117.1896567
SAT,2003,4,2,1,San Antonio International,San Antonio,TX,29.53369444,-98.46977778
SDF,2003,4,-2,2,Louisville International-Standiford ,Louisville,KY,38.17438889,-85.736
SEA,2003,4,8.666666667,6,Seattle-Tacoma Intl,Seattle,WA,47.44898194,-122.3093131
SFO,2003,4,1.5,4,San Francisco International,San Francisco,CA,37.61900194,-122.3748433
SHV,2003,4,-13,1,Shreveport Regional,Shreveport,LA,32.4466275,-93.82559833
SJC,2003,4,-1,1,San Jose International,San Jose,CA,37.36186194,-121.9290089
SLC,2003,4,28.6,5,Salt Lake City Intl,Salt Lake City,UT,40.78838778,-111.9777731
SMF,2003,4,0,1,Sacramento International,Sacramento,CA,38.69542167,-121.5907669
SNA,2003,4,65.5,4,John Wayne /Orange Co,Santa Ana,CA,33.67565861,-117.8682225
STL,2003,4,5.583333333,12,Lambert-St Louis International,St Louis,MO,38.74768694,-90.35998972
SYR,2003,4,-5.5,2,Syracuse-Hancock Intl,Syracuse,NY,43.11118694,-76.10631056
TPA,2003,4,-0.5,6,Tampa International ,Tampa,FL,27.97547222,-82.53325
TRI,2003,4,0,1,Tri-Cities Regional,Bristol,TN,36.47521417,-82.40742056
TUL,2003,4,56.66666667,3,Tulsa International,Tulsa,OK,36.19837222,-95.88824167
TUS,2003,4,16.5,2,Tucson International,Tucson,AZ,32.11608333,-110.9410278
ABE,2004,4,-9,1,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABQ,2004,4,4.2,5,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ALB,2004,4,1,2,Albany Cty,Albany,NY,42.74811944,-73.80297861
ATL,2004,4,18.2173913,23,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
AUS,2004,4,3,3,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
BDL,2004,4,20,2,Bradley International,Windsor Locks,CT,41.93887417,-72.68322833
BHM,2004,4,35,1,Birmingham International,Birmingham,AL,33.56294306,-86.75354972
BNA,2004,4,2.333333333,3,Nashville International,Nashville,TN,36.12447667,-86.67818222
BOI,2004,4,1.333333333,3,Boise Air Terminal,Boise,ID,43.56444444,-116.2227778
BOS,2004,4,12.1,10,Gen Edw L Logan Intl,Boston,MA,42.3643475,-71.00517917
BUR,2004,4,-8.666666667,3,Burbank-Glendale-Pasadena,Burbank,CA,34.20061917,-118.3584969
BWI,2004,4,2.833333333,6,Baltimore-Washington International,Baltimore,MD,39.17540167,-76.66819833
CHS,2004,4,3,1,Charleston AFB/International,Charleston,SC,32.89864639,-80.04050583
CLE,2004,4,0,4,Cleveland-Hopkins Intl,Cleveland,OH,41.41089417,-81.84939667
CLT,2004,4,2.85,20,Charlotte/Douglas International,Charlotte,NC,35.21401111,-80.94312583
CMH,2004,4,-4,6,Port Columbus Intl,Columbus,OH,39.99798528,-82.89188278
COS,2004,4,5.333333333,3,City of Colorado Springs Muni,Colorado Springs,CO,38.80580556,-104.70025
CVG,2004,4,9.285714286,7,Cincinnati Northern Kentucky Intl,Covington,KY,39.04614278,-84.6621725
DAL,2004,4,-1.2,5,Dallas Love ,Dallas,TX,32.84711389,-96.85177222
DAY,2004,4,-3,1,James M Cox Dayton Intl,Dayton,OH,39.90237583,-84.219375
DCA,2004,4,5.8,5,Ronald Reagan Washington National,Arlington,VA,38.85208333,-77.03772222
DEN,2004,4,6.0625,16,Denver Intl,Denver,CO,39.85840806,-104.6670019
DFW,2004,4,1.954545455,22,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-97.0372
DSM,2004,4,8,1,Des Moines International,Des Moines,IA,41.53493306,-93.66068222
DTW,2004,4,3.05,20,Detroit Metropolitan-Wayne County,Detroit,MI,42.21205889,-83.34883583
ELP,2004,4,8,2,El Paso International,El Paso,TX,31.80666667,-106.3778056
EWR,2004,4,17.3,10,Newark Intl,Newark,NJ,40.69249722,-74.16866056
FLL,2004,4,-2.75,4,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,26.07258333,-80.15275
GEG,2004,4,-1,2,Spokane Intl,Spokane,WA,47.61985556,-117.5338425
GRB,2004,4,-15,1,Austin Straubel International,Green Bay,WI,44.48507333,-88.12959
GRR,2004,4,-7,2,Kent County International,Grand Rapids,MI,42.88081972,-85.52276778
GSO,2004,4,23.5,2,Piedmont Triad International,Greensboro,NC,36.09774694,-79.9372975
GSP,2004,4,9.5,2,Greenville-Spartanburg,Greer,SC,34.89566722,-82.21885833
HOU,2004,4,25.83333333,6,William P Hobby,Houston,TX,29.64541861,-95.27888889
IAD,2004,4,-5,2,Washington Dulles International,Chantilly,VA,38.94453194,-77.45580972
IAH,2004,4,4.777777778,9,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222
ICT,2004,4,-10,1,Wichita Mid-Continent,Wichita,KS,37.64995889,-97.43304583
ILM,2004,4,26,1,Wilmington International,Wilmington,NC,34.27061111,-77.90255556
IND,2004,4,-3,2,Indianapolis International,Indianapolis,IN,39.71732917,-86.29438417
JAX,2004,4,15,1,Jacksonville International,Jacksonville,FL,30.49405556,-81.68786111
JFK,2004,4,16,4,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
LAS,2004,4,25.5,10,McCarran International,Las Vegas,NV,36.08036111,-115.1523333
LAX,2004,4,-5.5,14,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744
LEX,2004,4,13,1,Blue Grass ,Lexington,KY,38.03697222,-84.60538889
LGA,2004,4,14.6,5,LaGuardia,New York,NY,40.77724306,-73.87260917
LIT,2004,4,81,3,Adams ,Little Rock,AR,34.72939611,-92.22424556
LNK,2004,4,20,1,Lincoln Municipal,Lincoln,NE,40.85097222,-96.75925
MAF,2004,4,-11,1,Midland International,Midland,TX,31.94252778,-102.2019139
MCI,2004,4,21.33333333,3,Kansas City International,Kansas City,MO,39.29760528,-94.71390556
MCO,2004,4,4.444444444,9,Orlando International,Orlando,FL,28.42888889,-81.31602778
MDT,2004,4,112,2,Harrisburg Intl,Harrisburg,PA,40.19349528,-76.76340361
MDW,2004,4,12,2,Chicago Midway,Chicago,IL,41.7859825,-87.75242444
MEM,2004,4,-5.833333333,6,Memphis International,Memphis,TN,35.04241667,-89.97666667
MIA,2004,4,45,3,Miami International,Miami,FL,25.79325,-80.29055556
MKE,2004,4,24,1,General Mitchell International,Milwaukee,WI,42.94722222,-87.89658333
MOB,2004,4,19,1,Mobile Regional,Mobile,AL,30.69141667,-88.24283333
MSP,2004,4,-6.2,5,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225
MSY,2004,4,21.5,2,New Orleans International ,New Orleans,LA,29.99338889,-90.25802778
OAK,2004,4,8,3,Metropolitan Oakland International,Oakland,CA,37.72129083,-122.2207167
OKC,2004,4,-6,3,Will Rogers World,Oklahoma City,OK,35.39308833,-97.60073389
OMA,2004,4,32.5,2,Eppley Airfield,Omaha,NE,41.30251861,-95.89417306
ONT,2004,4,1,1,Ontario International,Ontario,CA,34.056,-117.6011944
ORD,2004,4,6.6,25,Chicago O'Hare International,Chicago,IL,41.979595,-87.90446417
PBI,2004,4,0,2,Palm Beach International,West Palm Beach,FL,26.68316194,-80.09559417
PDX,2004,4,18,4,Portland Intl,Portland,OR,45.58872222,-122.5975
PHL,2004,4,14.22222222,9,Philadelphia Intl,Philadelphia,PA,39.87195278,-75.24114083
PHX,2004,4,11.46666667,15,Phoenix Sky Harbor International,Phoenix,AZ,33.43416667,-112.0080556
PIT,2004,4,6.545454545,11,Pittsburgh International,Pittsburgh,PA,40.49146583,-80.23287083
PVD,2004,4,-5,1,Theodore F Green State,Providence,RI,41.72399917,-71.42822111
PWM,2004,4,2,1,Portland International Jetport,Portland,ME,43.64616667,-70.30875
RDU,2004,4,20,1,Raleigh-Durham International,Raleigh,NC,35.87763889,-78.78747222
RIC,2004,4,-0.5,2,Richmond International,Richmond,VA,37.50516667,-77.31966667
RNO,2004,4,1.2,5,Reno/Tahoe International,Reno,NV,39.49857611,-119.7680647
RST,2004,4,-2.5,2,Rochester International,Rochester,MN,43.90882639,-92.49798722
RSW,2004,4,-2,2,Southwest Florida International,Ft. Myers,FL,26.53616667,-81.75516667
SAN,2004,4,-2.5,10,San Diego International-Lindbergh ,San Diego,CA,32.73355611,-117.1896567
SAT,2004,4,-4,2,San Antonio International,San Antonio,TX,29.53369444,-98.46977778
SAV,2004,4,-6.5,2,Savannah International,Savannah,GA,32.12758333,-81.20213889
SDF,2004,4,16,4,Louisville International-Standiford ,Louisville,KY,38.17438889,-85.736
SEA,2004,4,28.66666667,9,Seattle-Tacoma Intl,Seattle,WA,47.44898194,-122.3093131
SFO,2004,4,-6.666666667,9,San Francisco International,San Francisco,CA,37.61900194,-122.3748433
SJC,2004,4,1.333333333,3,San Jose International,San Jose,CA,37.36186194,-121.9290089
SLC,2004,4,12.18181818,11,Salt Lake City Intl,Salt Lake City,UT,40.78838778,-111.9777731
SMF,2004,4,3,5,Sacramento International,Sacramento,CA,38.69542167,-121.5907669
SNA,2004,4,-0.4,5,John Wayne /Orange Co,Santa Ana,CA,33.67565861,-117.8682225
SRQ,2004,4,74,1,Sarasota Bradenton International,Sarasota,FL,27.39533333,-82.55411111
STL,2004,4,2.428571429,14,Lambert-St Louis International,St Louis,MO,38.74768694,-90.35998972
TPA,2004,4,2.285714286,7,Tampa International ,Tampa,FL,27.97547222,-82.53325
TUL,2004,4,26,1,Tulsa International,Tulsa,OK,36.19837222,-95.88824167
TUS,2004,4,1.333333333,3,Tucson International,Tucson,AZ,32.11608333,-110.9410278
TYS,2004,4,-6,3,McGhee-Tyson,Knoxville,TN,35.81248722,-83.99285583
ABQ,2005,4,-2.666666667,3,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
AGS,2005,4,-4,1,Bush ,Augusta,GA,33.369955,-81.96449611
ALB,2005,4,-3.5,2,Albany Cty,Albany,NY,42.74811944,-73.80297861
ATL,2005,4,21.91666667,24,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
AUS,2005,4,-1.5,2,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
BDL,2005,4,14.5,2,Bradley International,Windsor Locks,CT,41.93887417,-72.68322833
BHM,2005,4,-9,1,Birmingham International,Birmingham,AL,33.56294306,-86.75354972
BNA,2005,4,12.33333333,3,Nashville International,Nashville,TN,36.12447667,-86.67818222
BOI,2005,4,-5.333333333,3,Boise Air Terminal,Boise,ID,43.56444444,-116.2227778
BOS,2005,4,1.428571429,7,Gen Edw L Logan Intl,Boston,MA,42.3643475,-71.00517917
BUR,2005,4,0.25,4,Burbank-Glendale-Pasadena,Burbank,CA,34.20061917,-118.3584969
BWI,2005,4,-4.8,5,Baltimore-Washington International,Baltimore,MD,39.17540167,-76.66819833
BZN,2005,4,74,1,Gallatin ,Bozeman,MT,45.77690139,-111.1530072
CHS,2005,4,15,1,Charleston AFB/International,Charleston,SC,32.89864639,-80.04050583
CID,2005,4,4,1,Eastern Iowa ,Cedar Rapids,IA,41.88458833,-91.71087222
CLE,2005,4,-4.25,4,Cleveland-Hopkins Intl,Cleveland,OH,41.41089417,-81.84939667
CLT,2005,4,0.578947368,19,Charlotte/Douglas International,Charlotte,NC,35.21401111,-80.94312583
CMH,2005,4,15.11111111,9,Port Columbus Intl,Columbus,OH,39.99798528,-82.89188278
COS,2005,4,12,1,City of Colorado Springs Muni,Colorado Springs,CO,38.80580556,-104.70025
CRP,2005,4,-5,1,Corpus Christi International,Corpus Christi,TX,27.77036083,-97.50121528
CVG,2005,4,0,8,Cincinnati Northern Kentucky Intl,Covington,KY,39.04614278,-84.6621725
DAL,2005,4,7.25,4,Dallas Love ,Dallas,TX,32.84711389,-96.85177222
DAY,2005,4,59,1,James M Cox Dayton Intl,Dayton,OH,39.90237583,-84.219375
DCA,2005,4,6.75,4,Ronald Reagan Washington National,Arlington,VA,38.85208333,-77.03772222
DEN,2005,4,-1.3125,16,Denver Intl,Denver,CO,39.85840806,-104.6670019
DFW,2005,4,9.19047619,21,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-97.0372
DLH,2005,4,-2,1,Duluth International,Duluth,MN,46.84209028,-92.19364861
DSM,2005,4,16,1,Des Moines International,Des Moines,IA,41.53493306,-93.66068222
DTW,2005,4,9.333333333,12,Detroit Metropolitan-Wayne County,Detroit,MI,42.21205889,-83.34883583
ELP,2005,4,31.75,4,El Paso International,El Paso,TX,31.80666667,-106.3778056
EWR,2005,4,11.64285714,14,Newark Intl,Newark,NJ,40.69249722,-74.16866056
FAR,2005,4,19,1,Hector International,Fargo,ND,46.91934889,-96.81498889
FLL,2005,4,-4,2,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,26.07258333,-80.15275
GEG,2005,4,7.5,2,Spokane Intl,Spokane,WA,47.61985556,-117.5338425
GRR,2005,4,-7,1,Kent County International,Grand Rapids,MI,42.88081972,-85.52276778
GSO,2005,4,-4,1,Piedmont Triad International,Greensboro,NC,36.09774694,-79.9372975
GSP,2005,4,163,1,Greenville-Spartanburg,Greer,SC,34.89566722,-82.21885833
GTF,2005,4,-1,1,Great Falls Intl,Great Falls,MT,47.48200194,-111.3706853
HOU,2005,4,-1.8,5,William P Hobby,Houston,TX,29.64541861,-95.27888889
HRL,2005,4,117,1,Valley International,Harlingen,TX,26.22850611,-97.65439389
HSV,2005,4,22,1,Huntsville International ,Huntsville,AL,34.6404475,-86.77310944
IAD,2005,4,1,4,Washington Dulles International,Chantilly,VA,38.94453194,-77.45580972
IAH,2005,4,5.25,8,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222
IND,2005,4,7.5,2,Indianapolis International,Indianapolis,IN,39.71732917,-86.29438417
JAC,2005,4,-2,1,Jackson Hole,Jackson,WY,43.60732417,-110.7377389
JAN,2005,4,-9,1,Jackson International,Jackson,MS,32.31116667,-90.07588889
JAX,2005,4,0,2,Jacksonville International,Jacksonville,FL,30.49405556,-81.68786111
JFK,2005,4,-8.5,2,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
LAS,2005,4,-2.5,10,McCarran International,Las Vegas,NV,36.08036111,-115.1523333
LAX,2005,4,8.4375,16,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744
LEX,2005,4,-5,1,Blue Grass ,Lexington,KY,38.03697222,-84.60538889
LGA,2005,4,5.3,10,LaGuardia,New York,NY,40.77724306,-73.87260917
LIT,2005,4,4,1,Adams ,Little Rock,AR,34.72939611,-92.22424556
MAF,2005,4,0,1,Midland International,Midland,TX,31.94252778,-102.2019139
MCI,2005,4,34.33333333,3,Kansas City International,Kansas City,MO,39.29760528,-94.71390556
MCO,2005,4,8.5,8,Orlando International,Orlando,FL,28.42888889,-81.31602778
MDW,2005,4,4.666666667,6,Chicago Midway,Chicago,IL,41.7859825,-87.75242444
MEM,2005,4,6,6,Memphis International,Memphis,TN,35.04241667,-89.97666667
MHT,2005,4,-6,1,Manchester,Manchester,NH,42.93451639,-71.43705583
MIA,2005,4,14.83333333,6,Miami International,Miami,FL,25.79325,-80.29055556
MSP,2005,4,3.285714286,7,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225
MSY,2005,4,4,1,New Orleans International ,New Orleans,LA,29.99338889,-90.25802778
OAK,2005,4,4.333333333,3,Metropolitan Oakland International,Oakland,CA,37.72129083,-122.2207167
OKC,2005,4,0,1,Will Rogers World,Oklahoma City,OK,35.39308833,-97.60073389
OMA,2005,4,4,1,Eppley Airfield,Omaha,NE,41.30251861,-95.89417306
ONT,2005,4,-16.5,2,Ontario International,Ontario,CA,34.056,-117.6011944
ORD,2005,4,6.88,25,Chicago O'Hare International,Chicago,IL,41.979595,-87.90446417
ORF,2005,4,-5,1,Norfolk International,Norfolk,VA,36.89461111,-76.20122222
PBI,2005,4,11.66666667,3,Palm Beach International,West Palm Beach,FL,26.68316194,-80.09559417
PDX,2005,4,7.666666667,3,Portland Intl,Portland,OR,45.58872222,-122.5975
PHL,2005,4,4.125,8,Philadelphia Intl,Philadelphia,PA,39.87195278,-75.24114083
PHX,2005,4,11.94117647,17,Phoenix Sky Harbor International,Phoenix,AZ,33.43416667,-112.0080556
PIT,2005,4,2.916666667,12,Pittsburgh International,Pittsburgh,PA,40.49146583,-80.23287083
PNS,2005,4,0,1,Pensacola Regional,Pensacola,FL,30.47330556,-87.18744444
PVD,2005,4,11.33333333,3,Theodore F Green State,Providence,RI,41.72399917,-71.42822111
RDU,2005,4,-8.333333333,3,Raleigh-Durham International,Raleigh,NC,35.87763889,-78.78747222
RIC,2005,4,-9,1,Richmond International,Richmond,VA,37.50516667,-77.31966667
RNO,2005,4,-5.5,2,Reno/Tahoe International,Reno,NV,39.49857611,-119.7680647
ROA,2005,4,5,1,Roanoke Regional/ Woodrum ,Roanoke,VA,37.32546833,-79.97542833
RSW,2005,4,-7.5,2,Southwest Florida International,Ft. Myers,FL,26.53616667,-81.75516667
SAN,2005,4,2.375,8,San Diego International-Lindbergh ,San Diego,CA,32.73355611,-117.1896567
SAT,2005,4,21,4,San Antonio International,San Antonio,TX,29.53369444,-98.46977778
SAV,2005,4,5,1,Savannah International,Savannah,GA,32.12758333,-81.20213889
SDF,2005,4,41,5,Louisville International-Standiford ,Louisville,KY,38.17438889,-85.736
SEA,2005,4,1.909090909,11,Seattle-Tacoma Intl,Seattle,WA,47.44898194,-122.3093131
SFO,2005,4,3.818181818,11,San Francisco International,San Francisco,CA,37.61900194,-122.3748433
SJC,2005,4,2.2,5,San Jose International,San Jose,CA,37.36186194,-121.9290089
SLC,2005,4,6.333333333,9,Salt Lake City Intl,Salt Lake City,UT,40.78838778,-111.9777731
SMF,2005,4,7.5,4,Sacramento International,Sacramento,CA,38.69542167,-121.5907669
SNA,2005,4,-1.6,5,John Wayne /Orange Co,Santa Ana,CA,33.67565861,-117.8682225
STL,2005,4,-2.5625,16,Lambert-St Louis International,St Louis,MO,38.74768694,-90.35998972
SYR,2005,4,7,2,Syracuse-Hancock Intl,Syracuse,NY,43.11118694,-76.10631056
TLH,2005,4,20,2,Tallahassee Regional,Tallahassee,FL,30.39652778,-84.35033333
TPA,2005,4,26.2,5,Tampa International ,Tampa,FL,27.97547222,-82.53325
TUL,2005,4,-2,1,Tulsa International,Tulsa,OK,36.19837222,-95.88824167
TYS,2005,4,-7,2,McGhee-Tyson,Knoxville,TN,35.81248722,-83.99285583
VPS,2005,4,0,1,Eglin Air Force Base,Valparaiso,FL,30.48325,-86.5254
ABE,2006,4,-2,1,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABQ,2006,4,-7.5,2,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ALB,2006,4,22,1,Albany Cty,Albany,NY,42.74811944,-73.80297861
ATL,2006,4,44.16666667,18,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
AUS,2006,4,-4,3,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
BDL,2006,4,20,1,Bradley International,Windsor Locks,CT,41.93887417,-72.68322833
BHM,2006,4,4,2,Birmingham International,Birmingham,AL,33.56294306,-86.75354972
BNA,2006,4,0,5,Nashville International,Nashville,TN,36.12447667,-86.67818222
BOS,2006,4,7.111111111,9,Gen Edw L Logan Intl,Boston,MA,42.3643475,-71.00517917
BTR,2006,4,14,2,"Baton Rouge Metropolitan, Ryan ",Baton Rouge,LA,30.53316083,-91.14963444
BTV,2006,4,-13,1,Burlington International,Burlington,VT,44.47300361,-73.1503125
BUF,2006,4,6.75,4,Buffalo Niagara Intl,Buffalo,NY,42.94052472,-78.73216667
BUR,2006,4,-2.333333333,3,Burbank-Glendale-Pasadena,Burbank,CA,34.20061917,-118.3584969
BWI,2006,4,-3.727272727,11,Baltimore-Washington International,Baltimore,MD,39.17540167,-76.66819833
CAE,2006,4,-2,1,Columbia Metropolitan,Columbia,SC,33.93884,-81.11953944
CAK,2006,4,-1,1,Akron-Canton Regional,Akron,OH,40.91631194,-81.44246556
CHS,2006,4,9,2,Charleston AFB/International,Charleston,SC,32.89864639,-80.04050583
CID,2006,4,205,1,Eastern Iowa ,Cedar Rapids,IA,41.88458833,-91.71087222
CLE,2006,4,13.66666667,3,Cleveland-Hopkins Intl,Cleveland,OH,41.41089417,-81.84939667
CLT,2006,4,1.857142857,7,Charlotte/Douglas International,Charlotte,NC,35.21401111,-80.94312583
CMH,2006,4,7.714285714,7,Port Columbus Intl,Columbus,OH,39.99798528,-82.89188278
CVG,2006,4,-2.636363636,11,Cincinnati Northern Kentucky Intl,Covington,KY,39.04614278,-84.6621725
DAL,2006,4,-2,6,Dallas Love ,Dallas,TX,32.84711389,-96.85177222
DAY,2006,4,1,1,James M Cox Dayton Intl,Dayton,OH,39.90237583,-84.219375
DCA,2006,4,-4.5,2,Ronald Reagan Washington National,Arlington,VA,38.85208333,-77.03772222
DEN,2006,4,-3.25,8,Denver Intl,Denver,CO,39.85840806,-104.6670019
DFW,2006,4,-1.083333333,24,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-97.0372
DTW,2006,4,16.91666667,12,Detroit Metropolitan-Wayne County,Detroit,MI,42.21205889,-83.34883583
ELP,2006,4,-1.75,4,El Paso International,El Paso,TX,31.80666667,-106.3778056
EWR,2006,4,2.333333333,9,Newark Intl,Newark,NJ,40.69249722,-74.16866056
FLL,2006,4,-8,2,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,26.07258333,-80.15275
FSD,2006,4,-13,1,Joe Foss ,Sioux Falls,SD,43.58135111,-96.74170028
GEG,2006,4,2,2,Spokane Intl,Spokane,WA,47.61985556,-117.5338425
GRB,2006,4,-7,1,Austin Straubel International,Green Bay,WI,44.48507333,-88.12959
GSO,2006,4,1.5,2,Piedmont Triad International,Greensboro,NC,36.09774694,-79.9372975
HOU,2006,4,6,4,William P Hobby,Houston,TX,29.64541861,-95.27888889
HPN,2006,4,12,1,Westchester Cty,White Plains,NY,41.06695778,-73.70757444
IAD,2006,4,8,3,Washington Dulles International,Chantilly,VA,38.94453194,-77.45580972
IAH,2006,4,-1,11,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222
IND,2006,4,-2,3,Indianapolis International,Indianapolis,IN,39.71732917,-86.29438417
JAN,2006,4,-6,1,Jackson International,Jackson,MS,32.31116667,-90.07588889
JAX,2006,4,9,1,Jacksonville International,Jacksonville,FL,30.49405556,-81.68786111
JFK,2006,4,8.5,2,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
LAS,2006,4,5.571428571,14,McCarran International,Las Vegas,NV,36.08036111,-115.1523333
LAX,2006,4,6.142857143,21,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744
LEX,2006,4,-3,1,Blue Grass ,Lexington,KY,38.03697222,-84.60538889
LGA,2006,4,-0.8,10,LaGuardia,New York,NY,40.77724306,-73.87260917
LGB,2006,4,10,1,Long Beach (Daugherty ),Long Beach,CA,33.81772222,-118.1516111
LIT,2006,4,-19,1,Adams ,Little Rock,AR,34.72939611,-92.22424556
MCI,2006,4,-8.166666667,6,Kansas City International,Kansas City,MO,39.29760528,-94.71390556
MCO,2006,4,14,4,Orlando International,Orlando,FL,28.42888889,-81.31602778
MDT,2006,4,-1,1,Harrisburg Intl,Harrisburg,PA,40.19349528,-76.76340361
MDW,2006,4,-3,1,Chicago Midway,Chicago,IL,41.7859825,-87.75242444
MEM,2006,4,5,2,Memphis International,Memphis,TN,35.04241667,-89.97666667
